,prfPrdOilNetMillSm3,Production,Date
0,0.8103699999999999,169.90757666666667,2013-01-01
1,0.72091,151.15079666666668,2013-02-01
2,0.78273,164.11239,2013-03-01
3,0.72379,151.75463666666667,2013-04-01
4,0.71815,150.57211666666666,2013-05-01
5,0.09636,20.20348,2013-06-01
6,0.7507699999999999,157.41144333333332,2013-07-01
7,0.85387,179.02807666666666,2013-08-01
8,0.6937,145.44576666666666,2013-09-01
9,0.8030799999999999,168.37910666666667,2013-10-01
10,0.74803,156.83695666666668,2013-11-01
11,0.7457900000000001,156.36730333333335,2013-12-01
12,0.77271,162.01153,2014-01-01
13,0.73687,154.49707666666666,2014-02-01
14,0.77493,162.47699,2014-03-01
15,0.7764800000000001,162.80197333333334,2014-04-01
16,0.7750600000000001,162.50424666666666,2014-05-01
17,0.75329,157.93980333333332,2014-06-01
18,0.74414,156.0213533333333,2014-07-01
19,0.74012,155.17849333333334,2014-08-01
20,0.67828,142.21270666666666,2014-09-01
21,0.7362200000000001,154.36079333333333,2014-10-01
22,0.7071299999999999,148.26158999999998,2014-11-01
23,0.73792,154.71722666666668,2014-12-01
24,0.7390100000000001,154.94576333333333,2015-01-01
25,0.61044,127.98892,2015-02-01
26,0.7357600000000001,154.26434666666668,2015-03-01
27,0.72402,151.80285999999998,2015-04-01
28,0.7896099999999999,165.55489666666665,2015-05-01
29,0.71099,149.07090333333335,2015-06-01
30,0.77654,162.81455333333335,2015-07-01
31,0.78247,164.05787666666666,2015-08-01
32,0.7466600000000001,156.54971333333333,2015-09-01
33,0.78872,165.36829333333336,2015-10-01
34,0.7917500000000001,166.00358333333335,2015-11-01
35,0.79367,166.40614333333335,2015-12-01
36,0.8001199999999999,167.75849333333335,2016-01-01
37,0.72431,151.86366333333334,2016-02-01
38,0.79488,166.65984,2016-03-01
39,0.7469,156.60003333333333,2016-04-01
40,0.73944,155.03592,2016-05-01
41,0.12460999999999998,26.12656333333333,2016-06-01
42,0.83346,174.74877999999998,2016-07-01
43,0.83065,174.1596166666667,2016-08-01
44,0.79105,165.85681666666665,2016-09-01
45,0.79349,166.36840333333333,2016-10-01
46,0.77113,161.68025666666665,2016-11-01
47,0.78752,165.11669333333333,2016-12-01
48,0.79484,166.65145333333334,2017-01-01
49,0.7272500000000001,152.48008333333334,2017-02-01
50,0.8037700000000001,168.52377666666666,2017-03-01
51,0.76425,160.23775,2017-04-01
52,0.76637,160.68224333333333,2017-05-01
53,0.76544,160.48725333333334,2017-06-01
54,0.77599,162.69923666666665,2017-07-01
55,0.77404,162.29038666666665,2017-08-01
56,0.71783,150.50502333333333,2017-09-01
57,0.73358,153.80727333333334,2017-10-01
58,0.69786,146.31798,2017-11-01
59,0.69374,145.45415333333335,2017-12-01
60,0.72387,151.77141,2018-01-01
61,0.63296,132.71061333333333,2018-02-01
62,0.7315200000000001,153.37536,2018-03-01
63,0.7024,147.26986666666664,2018-04-01
64,0.69809,146.36620333333335,2018-05-01
65,0.66827,140.11394333333334,2018-06-01
66,0.72605,152.22848333333334,2018-07-01
67,0.73708,154.54110666666668,2018-08-01
68,0.70763,148.36642333333333,2018-09-01
69,0.70408,147.62210666666667,2018-10-01
70,0.63548,133.23897333333332,2018-11-01
71,0.7283,152.70023333333333,2018-12-01
72,0.72134,151.24095333333332,2019-01-01
73,0.64056,134.30408,2019-02-01
74,0.7031799999999999,147.43340666666666,2019-03-01
75,0.71085,149.04155,2019-04-01
76,0.73281,153.64583,2019-05-01
77,0.0953,19.981233333333332,2019-06-01
78,0.8242400000000001,172.81565333333336,2019-07-01
79,0.7885,165.32216666666665,2019-08-01
80,0.72476,151.95801333333333,2019-09-01
81,0.7489199999999999,157.02356,2019-10-01
82,0.69223,145.13755666666665,2019-11-01
83,0.62768,131.60357333333332,2019-12-01
84,0.7133499999999999,149.56571666666665,2020-01-01
85,0.6521,136.72363333333334,2020-02-01
86,0.67565,141.66128333333333,2020-03-01
87,0.62563,131.17375666666666,2020-04-01
88,0.6393800000000001,134.05667333333332,2020-05-01
89,0.54558,114.38994,2020-06-01
90,0.66849,140.16007,2020-07-01
91,0.63238,132.58900666666668,2020-08-01
92,0.61876,129.73334666666668,2020-09-01
93,0.62948,131.9809733333333,2020-10-01
94,0.60313,126.45625666666668,2020-11-01
95,0.63604,133.35638666666668,2020-12-01
96,0.63053,132.20112333333336,2021-01-01
97,0.5682,119.1326,2021-02-01
98,0.63517,133.17397666666668,2021-03-01
99,0.5694,119.3842,2021-04-01
100,0.6239,130.81103333333334,2021-05-01
101,0.63407,132.94334333333333,2021-06-01
102,0.63644,133.44025333333335,2021-07-01
103,0.6325,132.61416666666665,2021-08-01
104,0.61978,129.94720666666666,2021-09-01
105,0.64444,135.11758666666665,2021-10-01
106,0.59878,125.54420666666665,2021-11-01
107,0.61015,127.92811666666667,2021-12-01
108,0.58064,121.74085333333333,2022-01-01
109,0.51852,108.71636,2022-02-01
110,0.5626599999999999,117.97104666666665,2022-03-01
111,0.54591,114.45913000000002,2022-04-01
112,0.47374,99.32748666666667,2022-05-01
113,0.15758,33.039273333333334,2022-06-01
114,0.64375,134.97291666666666,2022-07-01
115,0.62479,130.99763666666666,2022-08-01
116,0.60307,126.44367666666668,2022-09-01
117,0.62009,130.01220333333333,2022-10-01
118,0.5830299999999999,122.24195666666667,2022-11-01
